user_filter,user_init,item_filter,item_init,bipartite_filter,bipartite_init,recall20,precision20,ndcg20,use_test,timestamp
spectral_basis,smooth,original,sharp,original,butterworth,0.2917,0.2459,0.3505,False,2025-06-12T12:12:36.124068
legendre,smooth,multiscale,butterworth,ensemble,sharp,0.3201,0.2622,0.3772,False,2025-06-12T12:12:39.042600
multiscale,smooth,laguerre,bandpass,multiscale,butterworth,0.3256,0.2572,0.3761,False,2025-06-12T12:12:41.370980
enhanced_basis,gaussian,ensemble,smooth,ensemble,butterworth,0.319,0.2611,0.3765,False,2025-06-12T12:12:43.767213
multiscale,smooth,chebyshev,sharp,parametric,smooth,0.3286,0.2592,0.38,False,2025-06-12T12:12:46.190222
multiscale,smooth,chebyshev,gaussian,original,smooth,0.3308,0.2626,0.3837,False,2025-06-12T12:12:48.537791
multiscale,smooth,chebyshev,smooth,original,smooth,0.3309,0.2628,0.3837,False,2025-06-12T12:12:50.863441
chebyshev,smooth,chebyshev,sharp,original,smooth,0.321,0.2622,0.3769,False,2025-06-12T12:12:53.707894
multiscale,smooth,chebyshev,sharp,jacobi,smooth,0.3301,0.2604,0.3815,False,2025-06-12T12:12:55.774790
multiscale,smooth,chebyshev,sharp,multiscale,smooth,0.3266,0.2585,0.3786,False,2025-06-12T12:12:57.823426
multiscale,smooth,original,sharp,original,smooth,0.3282,0.261,0.3804,False,2025-06-12T12:13:00.394161
harmonic,smooth,chebyshev,sharp,original,smooth,0.3134,0.2563,0.3658,False,2025-06-12T12:13:03.242276
multiscale,smooth,chebyshev,sharp,original,gaussian,0.3306,0.2624,0.3836,False,2025-06-12T12:13:05.578163
multiscale,smooth,legendre,sharp,original,smooth,0.3313,0.2629,0.3841,False,2025-06-12T12:13:07.863931
bandstop,smooth,chebyshev,sharp,original,smooth,0.321,0.262,0.3768,False,2025-06-12T12:13:10.453018
multiscale,smooth,chebyshev,bandpass,original,smooth,0.3313,0.2626,0.3839,False,2025-06-12T12:13:12.781410
multiscale,smooth,bernstein,sharp,original,smooth,0.3314,0.263,0.3842,False,2025-06-12T12:13:15.111565
multiscale,smooth,hermite,sharp,original,smooth,0.3342,0.2647,0.3866,False,2025-06-12T12:13:17.457816
multiscale,smooth,chebyshev,sharp,original,band_stop,0.331,0.262,0.3839,False,2025-06-12T12:13:20.032638
multiscale,smooth,chebyshev,sharp,hermite,smooth,0.3194,0.2527,0.3711,False,2025-06-12T12:13:22.115665
multiscale,sharp,chebyshev,sharp,original,smooth,0.3306,0.2621,0.3833,False,2025-06-12T12:13:24.431558
multiscale,smooth,chebyshev,sharp,original,golden_036,0.3308,0.262,0.3832,False,2025-06-12T12:13:26.750869
original,smooth,chebyshev,sharp,original,smooth,0.3206,0.2617,0.377,False,2025-06-12T12:13:29.065607
hermite,smooth,chebyshev,sharp,original,smooth,0.3082,0.2505,0.3513,False,2025-06-12T12:13:31.893103
multiscale,smooth,spectral_basis,sharp,original,smooth,0.3316,0.2631,0.3834,False,2025-06-12T12:13:34.233731
multiscale,butterworth,chebyshev,sharp,original,smooth,0.3306,0.2621,0.3833,False,2025-06-12T12:13:36.571977
ensemble,smooth,chebyshev,sharp,original,smooth,0.3165,0.2595,0.3725,False,2025-06-12T12:13:38.932292
legendre,smooth,chebyshev,sharp,original,smooth,0.3208,0.2621,0.3766,False,2025-06-12T12:13:41.773314
multiscale,smooth,ensemble,sharp,original,smooth,0.3308,0.2627,0.3837,False,2025-06-12T12:13:44.140524
golden,smooth,chebyshev,sharp,original,smooth,0.3001,0.2514,0.3583,False,2025-06-12T12:13:46.989679
multiscale,smooth,chebyshev,sharp,original,notch,0.3313,0.2619,0.3837,False,2025-06-12T12:13:49.572681
multiscale,golden_036,chebyshev,sharp,original,smooth,0.3306,0.2621,0.3833,False,2025-06-12T12:13:51.876718
multiscale,smooth,harmonic,sharp,original,smooth,0.3314,0.2628,0.3832,False,2025-06-12T12:13:54.220583
parametric,smooth,chebyshev,sharp,original,smooth,0.3265,0.2632,0.3797,False,2025-06-12T12:13:56.766052
multiscale,smooth,chebyshev,sharp,chebyshev,smooth,0.3302,0.2604,0.3818,False,2025-06-12T12:13:58.846405
multiscale,smooth,enhanced_basis,sharp,original,smooth,0.3297,0.2615,0.3823,False,2025-06-12T12:14:01.150297
bernstein,smooth,chebyshev,sharp,original,smooth,0.3201,0.2612,0.3759,False,2025-06-12T12:14:03.494685
multiscale,smooth,chebyshev,sharp,original,butterworth,0.3309,0.2624,0.3835,False,2025-06-12T12:14:05.836521
multiscale,smooth,chebyshev,sharp,ensemble,smooth,0.3291,0.2597,0.3809,False,2025-06-12T12:14:08.199168
multiscale,band_stop,chebyshev,sharp,original,smooth,0.3306,0.2621,0.3833,False,2025-06-12T12:14:10.523304
multiscale,smooth,chebyshev,sharp,golden,smooth,0.3306,0.2614,0.3829,False,2025-06-12T12:14:13.109377
multiscale,smooth,chebyshev,sharp,adaptive_bandstop,smooth,0.3295,0.2609,0.3828,False,2025-06-12T12:14:15.666545
multiscale,notch,chebyshev,sharp,original,smooth,0.3306,0.2621,0.3833,False,2025-06-12T12:14:17.975079
multiscale,smooth,chebyshev,sharp,original,bandpass,0.331,0.2614,0.3823,False,2025-06-12T12:14:20.309584
multiscale,smooth,laguerre,sharp,original,smooth,0.3282,0.2606,0.3799,False,2025-06-12T12:14:22.641166
multiscale,smooth,chebyshev,sharp,original,sharp,0.331,0.2617,0.3832,False,2025-06-12T12:14:24.973670
adaptive_bandstop,smooth,chebyshev,sharp,original,smooth,0.3051,0.2547,0.3643,False,2025-06-12T12:14:27.031586
multiscale,smooth,chebyshev,sharp,harmonic,smooth,0.3278,0.2593,0.379,False,2025-06-12T12:14:29.112012
multiscale,smooth,chebyshev,notch,original,smooth,0.3313,0.2628,0.3839,False,2025-06-12T12:14:31.427499
multiscale,smooth,chebyshev,sharp,bernstein,smooth,0.3289,0.2592,0.3802,False,2025-06-12T12:14:33.529944
multiscale,smooth,chebyshev,sharp,enhanced_basis,smooth,0.3306,0.262,0.3828,False,2025-06-12T12:14:35.601065
laguerre,smooth,chebyshev,sharp,original,smooth,0.3164,0.2606,0.3747,False,2025-06-12T12:14:37.918243
multiscale,smooth,chebyshev,band_stop,original,smooth,0.3314,0.2628,0.3839,False,2025-06-12T12:14:40.260929
multiscale,smooth,adaptive_bandstop,sharp,original,smooth,0.3307,0.2622,0.3816,False,2025-06-12T12:14:42.576244
parametric,band_stop,hermite,smooth,ensemble,gaussian,0.327,0.2648,0.383,False,2025-06-12T12:14:45.190043
parametric,notch,hermite,smooth,harmonic,gaussian,0.3223,0.2623,0.3795,False,2025-06-12T12:14:48.037600
parametric,notch,spectral_basis,smooth,ensemble,gaussian,0.3234,0.2618,0.3773,False,2025-06-12T12:14:50.424563
parametric,notch,ensemble,smooth,ensemble,gaussian,0.3225,0.2611,0.3769,False,2025-06-12T12:14:52.824077
parametric,notch,hermite,smooth,adaptive_bandstop,gaussian,0.3214,0.263,0.3797,False,2025-06-12T12:14:54.908800
parametric,notch,hermite,smooth,chebyshev,gaussian,0.3241,0.2634,0.3818,False,2025-06-12T12:14:57.764658
adaptive_bandstop,notch,hermite,smooth,ensemble,gaussian,0.3062,0.2559,0.3653,False,2025-06-12T12:14:59.855292
parametric,notch,hermite,smooth,enhanced_basis,gaussian,0.323,0.2639,0.3804,False,2025-06-12T12:15:01.940007
parametric,notch,laguerre,smooth,ensemble,gaussian,0.3148,0.257,0.3695,False,2025-06-12T12:15:04.042583
parametric,notch,hermite,smooth,ensemble,notch,0.3263,0.265,0.3826,False,2025-06-12T12:15:06.678170
parametric,notch,hermite,smooth,bernstein,gaussian,0.3254,0.2644,0.3825,False,2025-06-12T12:15:09.571601
parametric,notch,hermite,smooth,bandstop,gaussian,0.3233,0.2627,0.381,False,2025-06-12T12:15:11.907632
parametric,notch,hermite,smooth,laguerre,gaussian,0.3291,0.2652,0.3834,False,2025-06-12T12:15:14.737124
parametric,notch,hermite,notch,ensemble,gaussian,0.3254,0.2638,0.3811,False,2025-06-12T12:15:17.392330
ensemble,notch,hermite,smooth,ensemble,gaussian,0.3119,0.2592,0.3717,False,2025-06-12T12:15:19.530152
parametric,notch,hermite,smooth,ensemble,golden_036,0.3254,0.2639,0.3822,False,2025-06-12T12:15:22.457004
parametric,notch,hermite,smooth,ensemble,bandpass,0.3257,0.2645,0.3825,False,2025-06-12T12:15:25.106316
parametric,notch,adaptive_bandstop,smooth,ensemble,gaussian,0.3209,0.2595,0.3725,False,2025-06-12T12:15:27.490973
parametric,notch,hermite,bandpass,ensemble,gaussian,0.3269,0.2647,0.3829,False,2025-06-12T12:15:30.142990
parametric,notch,hermite,smooth,ensemble,sharp,0.3262,0.2647,0.383,False,2025-06-12T12:15:33.076206
original,notch,hermite,smooth,ensemble,gaussian,0.3185,0.2594,0.3763,False,2025-06-12T12:15:35.470881
parametric,notch,hermite,gaussian,ensemble,gaussian,0.3269,0.2648,0.383,False,2025-06-12T12:15:38.105316
parametric,sharp,hermite,smooth,ensemble,gaussian,0.327,0.2648,0.383,False,2025-06-12T12:15:40.760172
parametric,notch,hermite,band_stop,ensemble,gaussian,0.3269,0.2647,0.3829,False,2025-06-12T12:15:43.400784
jacobi,notch,hermite,smooth,ensemble,gaussian,0.3175,0.2611,0.3755,False,2025-06-12T12:15:45.790812
parametric,notch,parametric,smooth,ensemble,gaussian,0.3248,0.2629,0.381,False,2025-06-12T12:15:48.707086
parametric,notch,original,smooth,ensemble,gaussian,0.3184,0.2597,0.3742,False,2025-06-12T12:15:50.832481
parametric,notch,hermite,smooth,golden,gaussian,0.3256,0.2651,0.3825,False,2025-06-12T12:15:53.696073
parametric,notch,bernstein,smooth,ensemble,gaussian,0.3218,0.2607,0.3769,False,2025-06-12T12:15:56.634447
parametric,notch,multiscale,smooth,ensemble,gaussian,0.3233,0.2621,0.3797,False,2025-06-12T12:15:59.315021
parametric,smooth,hermite,smooth,ensemble,gaussian,0.327,0.2648,0.383,False,2025-06-12T12:16:01.971558
parametric,notch,legendre,smooth,ensemble,gaussian,0.3231,0.2618,0.3786,False,2025-06-12T12:16:04.916901
parametric,notch,chebyshev,smooth,ensemble,gaussian,0.322,0.2612,0.3773,False,2025-06-12T12:16:07.850647
parametric,gaussian,hermite,smooth,ensemble,gaussian,0.327,0.2648,0.383,False,2025-06-12T12:16:10.544013
laguerre,notch,hermite,smooth,ensemble,gaussian,0.3169,0.2598,0.3746,False,2025-06-12T12:16:12.661407
parametric,notch,hermite,smooth,legendre,gaussian,0.3243,0.2635,0.3819,False,2025-06-12T12:16:15.542723
parametric,notch,hermite,smooth,ensemble,butterworth,0.3266,0.2645,0.3828,False,2025-06-12T12:16:18.225006
parametric,notch,hermite,smooth,hermite,gaussian,0.3103,0.2518,0.365,False,2025-06-12T12:16:20.632305
bernstein,notch,hermite,smooth,ensemble,gaussian,0.3204,0.2616,0.3778,False,2025-06-12T12:16:22.750870
parametric,bandpass,hermite,smooth,ensemble,gaussian,0.327,0.2648,0.383,False,2025-06-12T12:16:25.427162
parametric,notch,hermite,butterworth,ensemble,gaussian,0.3269,0.2647,0.3829,False,2025-06-12T12:16:28.147487
parametric,notch,hermite,smooth,parametric,gaussian,0.3203,0.2602,0.3771,False,2025-06-12T12:16:30.517775
chebyshev,notch,hermite,smooth,ensemble,gaussian,0.3167,0.2609,0.3751,False,2025-06-12T12:16:32.904792
parametric,notch,hermite,golden_036,ensemble,gaussian,0.327,0.2648,0.383,False,2025-06-12T12:16:35.571688
parametric,notch,bandstop,smooth,ensemble,gaussian,0.3228,0.2613,0.3782,False,2025-06-12T12:16:38.551712
parametric,notch,enhanced_basis,smooth,ensemble,gaussian,0.3208,0.2597,0.375,False,2025-06-12T12:16:41.026107
parametric,notch,hermite,smooth,spectral_basis,gaussian,0.3251,0.2653,0.3828,False,2025-06-12T12:16:43.737754
parametric,notch,hermite,smooth,multiscale,gaussian,0.3222,0.2613,0.3798,False,2025-06-12T12:16:46.420763
bandstop,notch,hermite,smooth,ensemble,gaussian,0.3094,0.2577,0.3699,False,2025-06-12T12:16:48.503530
parametric,golden_036,hermite,smooth,ensemble,gaussian,0.327,0.2648,0.383,False,2025-06-12T12:16:51.145617
parametric,gaussian,hermite,smooth,harmonic,golden_036,0.3223,0.2623,0.3795,False,2025-06-12T12:16:54.005564
parametric,gaussian,hermite,smooth,spectral_basis,sharp,0.3251,0.2653,0.3828,False,2025-06-12T12:16:56.604758
multiscale,gaussian,hermite,smooth,spectral_basis,golden_036,0.3325,0.2642,0.3853,False,2025-06-12T12:16:58.661766
bandstop,gaussian,hermite,smooth,spectral_basis,golden_036,0.307,0.2563,0.3675,False,2025-06-12T12:17:00.750036
parametric,notch,hermite,smooth,spectral_basis,golden_036,0.325,0.2652,0.3827,False,2025-06-12T12:17:03.364763
parametric,gaussian,hermite,butterworth,spectral_basis,golden_036,0.325,0.2648,0.3824,False,2025-06-12T12:17:05.942121
parametric,gaussian,hermite,smooth,parametric,golden_036,0.3203,0.2602,0.3771,False,2025-06-12T12:17:08.295385
adaptive_bandstop,gaussian,hermite,smooth,spectral_basis,golden_036,0.3033,0.2541,0.3634,False,2025-06-12T12:17:10.366342
parametric,gaussian,hermite,smooth,spectral_basis,gaussian,0.3251,0.2653,0.3828,False,2025-06-12T12:17:12.936807
parametric,bandpass,hermite,smooth,spectral_basis,golden_036,0.325,0.2652,0.3827,False,2025-06-12T12:17:15.540802
laguerre,gaussian,hermite,smooth,spectral_basis,golden_036,0.3169,0.26,0.3748,False,2025-06-12T12:17:18.344281
spectral_basis,gaussian,hermite,smooth,spectral_basis,golden_036,0.2942,0.2484,0.3524,False,2025-06-12T12:17:20.676050
parametric,gaussian,harmonic,smooth,spectral_basis,golden_036,0.3205,0.2593,0.3733,False,2025-06-12T12:17:23.283629
enhanced_basis,gaussian,hermite,smooth,spectral_basis,golden_036,0.3182,0.2601,0.3756,False,2025-06-12T12:17:25.617391
parametric,gaussian,hermite,smooth,chebyshev,golden_036,0.324,0.2636,0.382,False,2025-06-12T12:17:28.219067
parametric,gaussian,hermite,smooth,enhanced_basis,golden_036,0.323,0.2639,0.3804,False,2025-06-12T12:17:30.295098
parametric,gaussian,laguerre,smooth,spectral_basis,golden_036,0.3136,0.256,0.3682,False,2025-06-12T12:17:32.354410
parametric,gaussian,hermite,smooth,jacobi,golden_036,0.3245,0.2638,0.382,False,2025-06-12T12:17:35.204601
parametric,gaussian,hermite,smooth,original,golden_036,0.3263,0.2642,0.3824,False,2025-06-12T12:17:37.530405
parametric,gaussian,spectral_basis,smooth,spectral_basis,golden_036,0.3198,0.2595,0.3739,False,2025-06-12T12:17:39.865242
ensemble,gaussian,hermite,smooth,spectral_basis,golden_036,0.3112,0.2581,0.3702,False,2025-06-12T12:17:42.232599
parametric,gaussian,hermite,smooth,spectral_basis,bandpass,0.3251,0.2653,0.3828,False,2025-06-12T12:17:44.827164
parametric,gaussian,hermite,smooth,spectral_basis,butterworth,0.3251,0.2653,0.3828,False,2025-06-12T12:17:47.405694
