user_filter,user_init,item_filter,item_init,bipartite_filter,bipartite_init,recall20,precision20,ndcg20,use_test,timestamp
multiscale,smooth,chebyshev,sharp,original,smooth,0.3306,0.2621,0.3833,False,2025-06-12T12:24:16.070615
chebyshev,sharp,parametric,butterworth,laguerre,gaussian,0.3239,0.2634,0.3814,False,2025-06-12T12:24:18.666765
enhanced_basis,smooth,chebyshev,sharp,original,smooth,0.3209,0.2623,0.3786,False,2025-06-12T12:24:21.025603
spectral_basis,golden_036,multiscale,butterworth,legendre,smooth,0.2959,0.2498,0.3561,False,2025-06-12T12:24:23.117049
original,smooth,original,sharp,original,smooth,0.3187,0.2601,0.3744,False,2025-06-12T12:24:25.451755
hermite,butterworth,bernstein,golden_036,bandstop,notch,0.2997,0.2429,0.3391,False,2025-06-12T12:24:28.421455
harmonic,butterworth,jacobi,notch,spectral_basis,bandpass,0.2954,0.2442,0.3504,False,2025-06-12T12:24:30.760087
parametric,butterworth,ensemble,sharp,bernstein,band_stop,0.3223,0.2611,0.3768,False,2025-06-12T12:24:33.717337
laguerre,gaussian,chebyshev,golden_036,chebyshev,butterworth,0.3134,0.2589,0.3725,False,2025-06-12T12:24:36.048639
laguerre,bandpass,laguerre,bandpass,golden,sharp,0.3028,0.2522,0.3607,False,2025-06-12T12:24:38.119304
bandstop,notch,hermite,band_stop,golden,notch,0.3081,0.258,0.3691,False,2025-06-12T12:24:40.190848
original,band_stop,chebyshev,bandpass,adaptive_bandstop,smooth,0.3012,0.2551,0.3624,False,2025-06-12T12:24:42.274499
jacobi,golden_036,bernstein,smooth,spectral_basis,smooth,0.3147,0.2593,0.3729,False,2025-06-12T12:24:44.345083
multiscale,golden_036,enhanced_basis,smooth,enhanced_basis,sharp,0.3295,0.2616,0.3818,False,2025-06-12T12:24:46.932733
original,golden_036,adaptive_bandstop,butterworth,laguerre,bandpass,0.3155,0.2582,0.3722,False,2025-06-12T12:24:49.297240
harmonic,golden_036,harmonic,gaussian,spectral_basis,notch,0.2957,0.2437,0.3497,False,2025-06-12T12:24:51.629707
original,notch,ensemble,golden_036,golden,smooth,0.3149,0.2589,0.3733,False,2025-06-12T12:24:53.981777
chebyshev,bandpass,chebyshev,gaussian,golden,notch,0.3173,0.2606,0.3748,False,2025-06-12T12:24:56.308016
hermite,butterworth,ensemble,gaussian,legendre,band_stop,0.29,0.2356,0.3248,False,2025-06-12T12:24:58.397402
ensemble,smooth,harmonic,butterworth,bernstein,sharp,0.3127,0.2583,0.3705,False,2025-06-12T12:25:00.767290
bernstein,band_stop,bernstein,gaussian,bernstein,golden_036,0.3212,0.2608,0.3781,False,2025-06-12T12:25:02.841942
parametric,gaussian,hermite,smooth,spectral_basis,golden_036,0.325,0.2652,0.3827,False,2025-06-12T12:25:05.443432
bandstop,golden_036,jacobi,golden_036,legendre,bandpass,0.3085,0.2574,0.3689,False,2025-06-12T12:25:07.494924
multiscale,smooth,legendre,butterworth,jacobi,smooth,0.3295,0.2602,0.3813,False,2025-06-12T12:25:09.553787
legendre,bandpass,adaptive_bandstop,bandpass,spectral_basis,sharp,0.3132,0.256,0.3696,False,2025-06-12T12:25:11.870850
harmonic,notch,bandstop,golden_036,ensemble,gaussian,0.2888,0.2438,0.3481,False,2025-06-12T12:25:13.947222
bandstop,notch,enhanced_basis,bandpass,legendre,notch,0.3072,0.256,0.367,False,2025-06-12T12:25:16.006122
golden,bandpass,original,notch,jacobi,smooth,0.2922,0.2463,0.3514,False,2025-06-12T12:25:18.099919
laguerre,butterworth,harmonic,golden_036,laguerre,band_stop,0.3179,0.2614,0.3758,False,2025-06-12T12:25:20.697840
spectral_basis,bandpass,parametric,band_stop,bernstein,sharp,0.295,0.2486,0.3545,False,2025-06-12T12:25:23.019847
bernstein,band_stop,harmonic,notch,harmonic,sharp,0.3197,0.2605,0.3767,False,2025-06-12T12:25:25.068531
legendre,notch,legendre,smooth,bandstop,butterworth,0.3171,0.2606,0.3749,False,2025-06-12T12:25:27.374606
spectral_basis,sharp,original,smooth,legendre,notch,0.2908,0.2443,0.349,False,2025-06-12T12:25:29.428512
original,band_stop,spectral_basis,notch,enhanced_basis,butterworth,0.3037,0.2561,0.3642,False,2025-06-12T12:25:31.494359
hermite,butterworth,harmonic,smooth,chebyshev,butterworth,0.2927,0.2367,0.3297,False,2025-06-12T12:25:33.598732
jacobi,bandpass,enhanced_basis,golden_036,parametric,band_stop,0.3156,0.2583,0.3721,False,2025-06-12T12:25:35.935673
multiscale,band_stop,adaptive_bandstop,gaussian,legendre,bandpass,0.3256,0.2583,0.3774,False,2025-06-12T12:25:38.003999
spectral_basis,sharp,enhanced_basis,butterworth,hermite,gaussian,0.2723,0.2302,0.3294,False,2025-06-12T12:25:40.306500
hermite,sharp,ensemble,sharp,spectral_basis,bandpass,0.3035,0.2518,0.3619,False,2025-06-12T12:25:42.697538
ensemble,smooth,laguerre,band_stop,hermite,golden_036,0.2946,0.2453,0.3521,False,2025-06-12T12:25:45.353712
bernstein,band_stop,laguerre,butterworth,bernstein,gaussian,0.3188,0.2591,0.3746,False,2025-06-12T12:25:47.431698
spectral_basis,butterworth,bandstop,bandpass,enhanced_basis,golden_036,0.2996,0.2514,0.3579,False,2025-06-12T12:25:50.037736
adaptive_bandstop,golden_036,golden,sharp,chebyshev,band_stop,0.3049,0.2545,0.3641,False,2025-06-12T12:25:52.096618
parametric,notch,hermite,smooth,ensemble,gaussian,0.327,0.2648,0.383,False,2025-06-12T12:25:54.732821
spectral_basis,sharp,original,butterworth,jacobi,golden_036,0.2908,0.2445,0.3494,False,2025-06-12T12:25:56.814666
spectral_basis,bandpass,original,bandpass,ensemble,notch,0.2911,0.2459,0.3503,False,2025-06-12T12:25:58.890941
laguerre,notch,golden,butterworth,spectral_basis,smooth,0.3136,0.2581,0.3722,False,2025-06-12T12:26:00.951113
harmonic,gaussian,parametric,notch,bandstop,butterworth,0.2936,0.2483,0.3548,False,2025-06-12T12:26:03.016020
laguerre,notch,parametric,gaussian,golden,gaussian,0.3177,0.26,0.3753,False,2025-06-12T12:26:05.100300
chebyshev,smooth,jacobi,sharp,original,sharp,0.3191,0.2605,0.3769,False,2025-06-12T12:26:07.173867
laguerre,butterworth,ensemble,notch,legendre,bandpass,0.3134,0.2587,0.3721,False,2025-06-12T12:26:09.561548
spectral_basis,smooth,original,sharp,original,butterworth,0.2917,0.2459,0.3505,False,2025-06-12T12:26:11.631245
legendre,smooth,multiscale,butterworth,ensemble,sharp,0.3201,0.2622,0.3772,False,2025-06-12T12:26:14.536803
