u_eigen,i_eigen,b_eigen,ndcg,recall,precision
10,300,50,0.426083415348671,0.24181459080488585,0.3456427015250545
10,300,75,0.417912142971194,0.23461364480926222,0.34074074074074073
10,300,100,0.41233021772903244,0.230637326713212,0.3339869281045752
10,300,125,0.39924026754085956,0.22148530642516365,0.325599128540305
35,300,50,0.39331326662612615,0.2166826278655,0.31546840958605665
35,300,75,0.3894188998743091,0.21412486247737333,0.3144880174291939
10,300,150,0.3868395589262448,0.21313925336425704,0.31361655773420477
35,300,100,0.3833660307987708,0.20620162810332024,0.3084967320261438
10,300,175,0.37694313892644044,0.20803544740505986,0.30577342047930284
35,300,125,0.3711312009810385,0.19874503914350033,0.2989106753812636
60,300,50,0.3706366531963923,0.20392657179945511,0.2995642701525055
60,300,75,0.3689508861545833,0.20268567794270928,0.29814814814814816
10,300,200,0.36540439486930176,0.19896596649154052,0.29760348583877994
135,300,50,0.36356665594556276,0.19611597804069908,0.2953159041394336
60,300,100,0.3618496985869886,0.1975026512495705,0.2935729847494553
35,300,150,0.3572370193991608,0.1892548742034719,0.2872549019607843
135,300,75,0.35673390102374597,0.18980202045068098,0.29052287581699343
85,300,50,0.35641546179795364,0.1907200973305352,0.2889978213507625
10,300,400,0.3561008726139755,0.1903344583565372,0.29477124183006537
110,300,50,0.35399664414351584,0.18646056597451274,0.2851851851851852
85,300,75,0.35269895658172995,0.18804445916189994,0.28649237472766886
110,300,75,0.3489028483252819,0.18379626667978932,0.2815904139433551
10,300,225,0.3485789398381218,0.1865565653964991,0.2852941176470588
135,300,100,0.34670088101734636,0.18323271204241262,0.28039215686274505
35,300,175,0.34661775895872887,0.18452116741523714,0.2791938997821351
60,300,125,0.343746959057824,0.18403067705162915,0.27690631808278865
85,300,100,0.3427438158624337,0.18084608415602474,0.2796296296296296
110,300,100,0.3385498620243541,0.17572850508009205,0.27429193899782134
35,300,200,0.3372728374445448,0.17901336407542653,0.2729847494553377
135,300,125,0.3366767954648564,0.17490577423962136,0.2721132897603486
10,300,250,0.3363717249309505,0.18071365853807778,0.2762527233115468
60,300,150,0.3330714756615421,0.17656640101955293,0.26851851851851855
85,300,125,0.3324620336762135,0.1730079410203509,0.2701525054466231
35,300,400,0.33049329688871903,0.17038006192277538,0.2690631808278867
135,300,150,0.329190300235585,0.1712029189563023,0.26633986928104575
110,300,125,0.3285733096813434,0.16963693470015384,0.2656862745098039
60,300,175,0.32709128202171356,0.17191374310012655,0.2642701525054466
35,300,225,0.32386412081521904,0.1699330443236922,0.2635076252723312
85,300,150,0.3226139202169234,0.16672576021479224,0.2613289760348584
10,300,275,0.32237736777359527,0.17084029150604788,0.2644880174291939
135,300,175,0.32229393081613394,0.16428237785891897,0.2605664488017429
110,300,150,0.3196136144029598,0.1639779444079935,0.25784313725490193
60,300,200,0.31892338729203185,0.16875718614801755,0.25915032679738564
85,300,175,0.3178821877749155,0.16695215859274984,0.25838779956427016
60,300,400,0.3173466851114714,0.1640654731398431,0.2594771241830065
135,300,200,0.31584094639577753,0.16153582569977898,0.2559912854030501
110,300,175,0.31556608939138436,0.1623467513223595,0.2545751633986928
35,300,250,0.3140170475084733,0.16541806191383207,0.2552287581699347
135,300,400,0.31185900811244666,0.15868466311669968,0.25577342047930285
10,300,300,0.31169995554821656,0.1650282975174764,0.2549019607843137
110,300,200,0.31016687750385386,0.15876401780606433,0.25010893246187366
60,300,225,0.30873069491332505,0.16174263906718353,0.2529411764705882
85,300,200,0.30859114670736243,0.16065762235653008,0.25163398692810457
85,300,400,0.307318914608881,0.15765696133746424,0.2530501089324619
10,300,325,0.3063252769761135,0.1620700062938487,0.25098039215686274
10,300,375,0.30587240741675975,0.16274970365105937,0.2522875816993464
135,300,225,0.3058635200193877,0.1565785292176874,0.2491285403050109
