u_eigen,i_eigen,b_eigen,ndcg,recall,precision
60,300,250,0.10055540447289811,0.1346938033494329,0.04161196329291981
60,300,225,0.10055011374079124,0.13478811270913119,0.04162870922365864
60,300,150,0.10052448771182027,0.13469472467523355,0.041610288699845926
60,300,125,0.10051285508747661,0.13471328317847076,0.0416035903275504
35,300,300,0.10051076388329748,0.13468331615216272,0.041596891955254886
60,300,100,0.10050901287923447,0.13472904650564238,0.04161028869984594
35,300,275,0.10049209276456918,0.13471883216079056,0.04159856654832875
60,300,200,0.10049142527077508,0.13463707185868495,0.041595217362180976
60,300,175,0.10048117834887925,0.13456660116584954,0.04158684439681157
10,300,325,0.10047530469459484,0.1346851389010655,0.041618661665215356
10,300,250,0.10045536167404669,0.13472723773900097,0.04159689195525487
10,300,225,0.10045300000894031,0.13483744263243316,0.04161196329291982
35,300,250,0.10044869877993927,0.1346445806081838,0.04158684439681158
35,300,225,0.1004449527089341,0.13477145441150987,0.04160861410677206
85,300,50,0.100435223220921,0.13469155163821409,0.041588518989885456
10,300,275,0.10043338208930432,0.13457947318966193,0.04157009846607274
60,300,75,0.10040884447223225,0.13457777224001488,0.041578471431442166
10,300,300,0.10038094313729112,0.13451240928790997,0.041566749279924965
35,300,200,0.10037604669771631,0.13460858440493265,0.04157847143144216
35,300,150,0.10036786475959864,0.1345964048513762,0.041581820617589936
10,300,200,0.10036615670958907,0.1346537526977824,0.04157009846607276
35,300,125,0.10034509708408093,0.13466058570940806,0.04158349521066381
35,300,175,0.10033602286645821,0.13450526352156122,0.041566749279924986
10,300,150,0.10031924734530652,0.13465806621719728,0.04157847143144216
10,300,125,0.10031864587699257,0.1346255408576698,0.04156842387299885
10,300,175,0.10031485513585056,0.1346072706120921,0.04155670172148167
10,300,100,0.10030810516025095,0.13454524247143904,0.04155502712840779
35,300,100,0.10030780348997453,0.13458672575298997,0.041575122245294395
60,300,50,0.10028509385091708,0.13444756589901996,0.04153995579074286
35,300,75,0.10021568935251983,0.13447360317278026,0.04152990823229956
10,300,75,0.10018276675308839,0.1343802047703951,0.04150311474311742
10,300,50,0.10011422091429308,0.13427163971767056,0.0414846942193047
35,300,50,0.10010003843372843,0.13432555582675187,0.041486368812378584
135,275,400,0.08294162287971121,0.11513605908634728,0.03438776877218834
110,275,400,0.08230630811192252,0.11434480499446406,0.034146627369549196
135,275,375,0.0823006379460352,0.11420719010002005,0.03413825440417979
135,275,350,0.08214763872169063,0.11405139851305214,0.034084667425815535
85,275,400,0.08199706576951277,0.11404205001445893,0.03404447719204234
135,275,325,0.08195635071795937,0.1138444947933459,0.03402270748208185
135,275,275,0.08194989595228977,0.11388915613900737,0.034036104226672914
135,275,300,0.08194950626829736,0.1138956730734972,0.03403610422667292
60,275,400,0.08192627500114787,0.11392280624580253,0.03405452475048563
135,275,200,0.08191409524735419,0.11397226107234197,0.03406624690200281
135,275,250,0.08191217243806148,0.1138290114201519,0.03402103288900797
135,275,225,0.08190825029513008,0.11389849035827242,0.034037778819746796
